 x, y, z, yaw
-12.6223, -28.5670, 0.0016, -1.2501
-12.3607, -29.3231, 0.0016, -1.2085
-12.0975, -30.0428, 0.0016, -1.1847
-11.7992, -30.8423, 0.0016, -1.1788
-11.5377, -31.5746, 0.0016, -1.1966
-11.3226, -32.2374, 0.0016, -1.2314
-11.1095, -32.9789, 0.0016, -1.2821
-10.8785, -33.8852, 0.0016, -1.3396
-10.6902, -34.7015, 0.0016, -1.3763
-10.5040, -35.5743, 0.0017, -1.3979
-10.3255, -36.4848, 0.0017, -1.4088
-10.1962, -37.1939, 0.0017, -1.4131
-10.0600, -37.9806, 0.0018, -1.4156
-9.9290, -38.7688, 0.0018, -1.4169
-9.8092, -39.5090, 0.0017, -1.4175
-9.6684, -40.3961, 0.0017, -1.4179
-9.5400, -41.2149, 0.0017, -1.4180
-9.4198, -41.9874, 0.0017, -1.4181
-9.2891, -42.8814, 0.0017, -1.4251
-9.1843, -43.7694, 0.0017, -1.4509
-9.1132, -44.7351, 0.0018, -1.5035
-9.0959, -45.6969, 0.0018, -1.5752
-9.1248, -46.5479, 0.0018, -1.6433
-9.1805, -47.2825, 0.0018, -1.6977
-9.2928, -48.3141, 0.0018, -1.7519
-9.4205, -49.2295, 0.0018, -1.7775
-9.5466, -49.9890, 0.0019, -1.7894
-9.6858, -50.7359, 0.0019, -1.7963
-9.8595, -51.5911, 0.0020, -1.8006
-10.0127, -52.3021, 0.0020, -1.8025
-10.1648, -53.0089, 0.0021, -1.7986
-10.3072, -53.7373, 0.0021, -1.7797
-10.4246, -54.4773, 0.0022, -1.7416
-10.5049, -55.1537, 0.0022, -1.6964
-10.5639, -55.8355, 0.0022, -1.6516
-10.6152, -56.6288, 0.0022, -1.6141
-10.6524, -57.3544, 0.0022, -1.5969
-10.6803, -58.0686, 0.0022, -1.5894
-10.7001, -58.7464, 0.0022, -1.5864
-10.7144, -59.3806, 0.0022, -1.5851
-10.7261, -60.0044, 0.0022, -1.5845
-10.7372, -60.6966, 0.0022, -1.5843
-10.7468, -61.3495, 0.0022, -1.5842
-10.7550, -61.9367, 0.0022, -1.5841
-10.7621, -62.4603, 0.0021, -1.5841
-10.7693, -62.9950, 0.0021, -1.5841
-10.7777, -63.6272, 0.0020, -1.5841
-10.7853, -64.1958, 0.0019, -1.5841
-10.7932, -64.7875, 0.0019, -1.5841
-10.8012, -65.3879, 0.0018, -1.5841
-10.8093, -65.9962, 0.0018, -1.5841
-10.8171, -66.5841, 0.0017, -1.5841
-10.8259, -67.2396, 0.0017, -1.5841
-10.8347, -67.9015, 0.0017, -1.5841
-10.8432, -68.5372, 0.0017, -1.5841
-10.8522, -69.2146, 0.0016, -1.5841
-10.8609, -69.8650, 0.0016, -1.5841
-10.8715, -70.6654, 0.0016, -1.5841
-10.8798, -71.2826, 0.0016, -1.5841
-10.8892, -71.9922, 0.0016, -1.5841
-10.8978, -72.6341, 0.0016, -1.5841
-10.9075, -73.3668, 0.0016, -1.5841
-10.9170, -74.0771, 0.0016, -1.5841
-10.9252, -74.6925, 0.0016, -1.5841
-10.9353, -75.4471, 0.0016, -1.5841
-10.9434, -76.0539, 0.0016, -1.5841
-10.9546, -76.8969, 0.0016, -1.5841
-10.9683, -77.9224, 0.0016, -1.5841
-10.9809, -78.8734, 0.0016, -1.5841
-10.9920, -79.7067, 0.0016, -1.5841
-11.0038, -80.5912, 0.0016, -1.5841
-11.0136, -81.3282, 0.0016, -1.5841
-11.0247, -82.1599, 0.0016, -1.5841
-11.0355, -82.9722, 0.0016, -1.5841
-11.0479, -83.9029, 0.0016, -1.5841
-11.0589, -84.7267, 0.0016, -1.5841
-11.0708, -85.6160, 0.0016, -1.5841
-11.0820, -86.4614, 0.0016, -1.5841
-11.0938, -87.3431, 0.0016, -1.5841
-11.1059, -88.2564, 0.0016, -1.5841
-11.1165, -89.0511, 0.0016, -1.5841
-11.1197, -90.1874, 0.0016, -1.5734
-11.1002, -91.2210, 0.0016, -1.5492
-11.0730, -92.1903, 0.0016, -1.5310
-11.0433, -93.0976, 0.0016, -1.5219
-11.0012, -94.1637, 0.0016, -1.5163
-10.9631, -95.0042, 0.0016, -1.5140
-10.9208, -95.8621, 0.0016, -1.5126
-10.8723, -96.7856, 0.0016, -1.5117
-10.8195, -97.7466, 0.0016, -1.5112
-10.7601, -98.7943, 0.0016, -1.5109
-10.7008, -99.8169, 0.0016, -1.5108
-10.6503, -100.6777, 0.0016, -1.5107
-10.5866, -101.7527, 0.0016, -1.5106
-10.5230, -102.8085, 0.0021, -1.5106
-10.4585, -103.8961, 0.0018, -1.5106
-10.3943, -104.9668, 0.0017, -1.5105
-10.3514, -105.6755, 0.0020, -1.5105
-10.2835, -106.8062, 0.0019, -1.5105
-10.2177, -107.8983, 0.0017, -1.5105
-10.1525, -108.9801, 0.0016, -1.5105
-10.0975, -109.8904, 0.0016, -1.5105
-10.0307, -110.9991, 0.0016, -1.5105
-9.9617, -112.1411, 0.0016, -1.5105
-9.9025, -113.1227, 0.0016, -1.5105
-9.8369, -114.2098, 0.0016, -1.5105
-9.7739, -115.2551, 0.0016, -1.5105
-9.7099, -116.3162, 0.0016, -1.5105
-9.6420, -117.4413, 0.0016, -1.5105
-9.5647, -118.7230, 0.0016, -1.5105
-9.5012, -119.7741, 0.0016, -1.5105
-9.4388, -120.8083, 0.0016, -1.5105
-9.3712, -121.9299, 0.0016, -1.5105
-9.2993, -123.1216, 0.0016, -1.5105
-9.2300, -124.2693, 0.0016, -1.5105
-9.1532, -125.5428, 0.0016, -1.5105
-9.0988, -126.4450, 0.0016, -1.5105
-9.0340, -127.5181, 0.0016, -1.5105
-8.9655, -128.6541, 0.0016, -1.5105
-8.8932, -129.8520, 0.0016, -1.5105
-8.8270, -130.9487, 0.0016, -1.5105
-8.7427, -132.3462, 0.0016, -1.5105
-8.6815, -133.3598, 0.0016, -1.5105
-8.5984, -134.7380, 0.0016, -1.5105
-8.5303, -135.8665, 0.0016, -1.5105
-8.4608, -137.0185, 0.0016, -1.5105
-8.3885, -138.2155, 0.0016, -1.5105
-8.3150, -139.4335, 0.0016, -1.5105
-8.2365, -140.7345, 0.0016, -1.5105
-8.1677, -141.8755, 0.0016, -1.5105
-8.0997, -143.0998, 0.0016, -1.5160
-8.0555, -144.1844, 0.0016, -1.5340
-8.0338, -145.4484, 0.0017, -1.5741
-8.0508, -146.6513, 0.0017, -1.6292
-8.1160, -147.9550, 0.0017, -1.6995
-8.2152, -149.1027, 0.0017, -1.7628
-8.3772, -150.4388, 0.0018, -1.8279
-8.5835, -151.7489, 0.0018, -1.8773
-8.7986, -152.8628, 0.0018, -1.9098
-9.0329, -153.8998, 0.0019, -1.9340
-9.3299, -155.0449, 0.0019, -1.9552
-9.6737, -156.2143, 0.0020, -1.9718
-10.0252, -157.3111, 0.0020, -1.9781
-10.3567, -158.3232, 0.0021, -1.9643
-10.7541, -159.5827, 0.0022, -1.9146
-11.0535, -160.6211, 0.0022, -1.8525
-11.2916, -161.5403, 0.0022, -1.7915
-11.5237, -162.5610, 0.0022, -1.7251
-11.7020, -163.4705, 0.0022, -1.6736
-11.8744, -164.4937, 0.0022, -1.6303
-12.0057, -165.4417, 0.0022, -1.6024
-12.1092, -166.3978, 0.0022, -1.5826
-12.1802, -167.2842, 0.0023, -1.5699
-12.2274, -168.1100, 0.0023, -1.5617
-12.2607, -168.9995, 0.0023, -1.5556
-12.2798, -169.9913, 0.0023, -1.5513
-12.2845, -170.7072, 0.0023, -1.5492
-12.2827, -171.4960, 0.0023, -1.5477
-12.2747, -172.3458, 0.0023, -1.5467
-12.2625, -173.1717, 0.0023, -1.5460
-12.2470, -174.0028, 0.0023, -1.5456
-12.2324, -174.6952, 0.0023, -1.5454
-12.2168, -175.3867, 0.0023, -1.5453
-12.2015, -176.0315, 0.0023, -1.5452
-12.1849, -176.7091, 0.0023, -1.5451
-12.1683, -177.3790, 0.0024, -1.5451
-12.1536, -177.9620, 0.0025, -1.5450
-12.1403, -178.4872, 0.0026, -1.5450
-12.1259, -179.0526, 0.0027, -1.5450
-12.1123, -179.5816, 0.0027, -1.5450
-12.0906, -180.4254, 0.0027, -1.5450
-12.0679, -181.3031, 0.0026, -1.5449
-12.0484, -182.0558, 0.0026, -1.5449
-12.0308, -182.7356, 0.0026, -1.5449
-12.0166, -183.2848, 0.0026, -1.5450
-11.9989, -183.9706, 0.0024, -1.5450
-11.9838, -184.5532, 0.0021, -1.5450
-11.9699, -185.0935, 0.0019, -1.5450
-11.9557, -185.6409, 0.0019, -1.5450
-11.9371, -186.1974, 0.0018, -1.5414
-11.8198, -186.7862, 0.0019, -1.4729
-11.6212, -187.3290, 0.0018, -1.3857
-11.4768, -187.8802, 0.0016, -1.3640
-11.3567, -188.4501, 0.0015, -1.3639
-11.2270, -189.0474, 0.0015, -1.3602
-11.0153, -189.6621, 0.0015, -1.3038
-10.7232, -190.2984, 0.0017, -1.2317
-10.4966, -190.8352, 0.0016, -1.2107
-10.2370, -191.5122, 0.0016, -1.2091
-10.0184, -192.0889, 0.0016, -1.2090
-9.7909, -192.6763, 0.0015, -1.2047
-9.5213, -193.2559, 0.0016, -1.1691
-9.1575, -193.8484, 0.0016, -1.0877
-8.7167, -194.4128, 0.0016, -0.9889
-8.2105, -194.9970, 0.0016, -0.9119
-7.6757, -195.6063, 0.0016, -0.8743
-7.1325, -196.2358, 0.0016, -0.8633
-6.5181, -196.8719, 0.0016, -0.8197
-5.9532, -197.3633, 0.0016, -0.7530
-5.2831, -197.8908, 0.0016, -0.6891
-4.5711, -198.4430, 0.0016, -0.6617
-3.7749, -199.0597, 0.0016, -0.6554
-3.0329, -199.6311, 0.0016, -0.6543
-2.1812, -200.2557, 0.0016, -0.6344
-1.7399, -200.5449, 0.0016, -0.6054
-1.2450, -200.8337, 0.0016, -0.5586
-0.7897, -201.0630, 0.0017, -0.5042
-0.2540, -201.2908, 0.0017, -0.4324
0.3327, -201.4962, 0.0017, -0.3543
1.3137, -201.7642, 0.0017, -0.2461
1.8911, -201.8939, 0.0016, -0.2038
2.5234, -202.0238, 0.0016, -0.1766
3.1986, -202.1528, 0.0016, -0.1634
3.7964, -202.2595, 0.0016, -0.1582
4.3913, -202.3606, 0.0016, -0.1556
5.1031, -202.4773, 0.0016, -0.1542
5.7146, -202.5752, 0.0016, -0.1536
6.5406, -202.7054, 0.0016, -0.1533
7.1341, -202.7980, 0.0016, -0.1532
7.8370, -202.9072, 0.0016, -0.1531
8.7119, -203.0427, 0.0016, -0.1531
9.5115, -203.1663, 0.0016, -0.1530
10.2733, -203.2839, 0.0016, -0.1530
10.9071, -203.3817, 0.0016, -0.1530
11.6811, -203.5011, 0.0016, -0.1530
12.4231, -203.6155, 0.0016, -0.1530
13.2933, -203.7497, 0.0016, -0.1530
14.0724, -203.8699, 0.0016, -0.1530
14.9067, -203.9985, 0.0016, -0.1530
15.6085, -204.1068, 0.0016, -0.1530
16.3821, -204.2261, 0.0016, -0.1530
17.3084, -204.3689, 0.0016, -0.1530
18.0940, -204.4901, 0.0016, -0.1530
18.9857, -204.6276, 0.0016, -0.1530
19.8251, -204.7513, 0.0016, -0.1477
20.7134, -204.8609, 0.0016, -0.1254
21.5921, -204.9400, 0.0016, -0.0865
22.3663, -204.9872, 0.0016, -0.0472
23.2779, -205.0251, 0.0016, -0.0093
24.2074, -205.0501, 0.0016, 0.0140
25.0403, -205.0601, 0.0016, 0.0259
25.9366, -205.0587, 0.0019, 0.0334
26.8706, -205.0463, 0.0024, 0.0378
27.7710, -205.0263, 0.0031, 0.0402
28.7410, -204.9983, 0.0040, 0.0417
29.6667, -204.9672, 0.0058, 0.0425
30.5435, -204.9349, 0.0082, 0.0429
31.5185, -204.8969, 0.0110, 0.0432
32.4078, -204.8609, 0.0141, 0.0434
33.4175, -204.8190, 0.0189, 0.0435
34.4625, -204.7748, 0.0248, 0.0435
35.3011, -204.7389, 0.0297, 0.0435
36.2729, -204.6971, 0.0360, 0.0436
37.2416, -204.6553, 0.0435, 0.0436
38.3278, -204.6081, 0.0529, 0.0436
39.2211, -204.5693, 0.0607, 0.0436
40.3168, -204.5216, 0.0712, 0.0436
41.4819, -204.4708, 0.0840, 0.0436
42.4931, -204.4267, 0.0956, 0.0436
43.5465, -204.3869, 0.1081, 0.0379
44.5722, -204.3682, 0.1216, 0.0162
45.7150, -204.3792, 0.1377, -0.0259
46.7794, -204.4178, 0.1530, -0.0705
47.8702, -204.4810, 0.1697, -0.1091
48.9595, -204.5643, 0.1878, -0.1351
50.0324, -204.6665, 0.2062, -0.1513
51.0478, -204.7813, 0.2241, -0.1612
52.0228, -204.9062, 0.2423, -0.1672
53.0375, -205.0492, 0.2624, -0.1714
53.9567, -205.1880, 0.2808, -0.1738
54.9427, -205.3445, 0.3010, -0.1755
55.8414, -205.4870, 0.3203, -0.1714
56.7920, -205.6227, 0.3413, -0.1512
57.7283, -205.7292, 0.3620, -0.1121
58.4930, -205.7925, 0.3790, -0.0705
59.4510, -205.8446, 0.4007, -0.0182
60.5078, -205.8769, 0.4246, 0.0236
61.3009, -205.8858, 0.4426, 0.0418
62.0929, -205.8806, 0.4604, 0.0530
62.9527, -205.8605, 0.4797, 0.0602
63.7328, -205.8317, 0.4972, 0.0639
64.4187, -205.7997, 0.5126, 0.0659
65.1771, -205.7590, 0.5295, 0.0672
65.9255, -205.7148, 0.5462, 0.0679
66.5989, -205.6727, 0.5612, 0.0682
67.3413, -205.6245, 0.5778, 0.0685
68.0381, -205.5780, 0.5933, 0.0686
68.7758, -205.5282, 0.6097, 0.0687
69.4977, -205.4789, 0.6258, 0.0687
70.2092, -205.4301, 0.6416, 0.0687
